,Strain,Identifier,Carbon_Source,Analysis_Level,Gram,Isolated_From,Genus,Species,Family,Order,Class,Phylum,Kingdom,Domain
200312-1,Ruminococcus_albus_7,DSM_20455,Cellobiose,Basic,positive,Cow,Ruminococcus,Ruminococcus_albus,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200312-2,Prevotella_bryantii_B14,DSM_11371,Glucose,Intermediate,negative,Cow,Prevotella,Prevotella_bryantii,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
200312-3,Mitsuokella_jalaludinii_M9,DSM_13811,Glucose,Basic,negative,Cow,Mitsuokella,Mitsuokella_jalaludinii,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Terrabacteria group,Bacteria
200602-1,Anaerobutyricum_hallii,DSM_3353,Glucose,Intermediate,positive,Human,Anaerobutyricum,Anaerobutyricum_hallii,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200602-2,Marvinbryantia_formatexigens,DSM_14469,Glucose,Intermediate,positive,Human,Marvinbryantia,Marvinbryantia_formatexigens,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200602-3,Roseburia_intestinalis_L1-82,DSM_14610,Glucose,Intermediate,positive,Human,Roseburia,Roseburia_intestinalis,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200707-1,Anaerovibrio_lipolyticus_5S,DSM_3074,Glucose,Detailed,negative,Sheep,Anaerovibrio,Anaerovibrio_lipolyticus,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Terrabacteria group,Bacteria
200707-2,Agathobacter_ruminis,DSM_29029,Glucose,Detailed,negative,Sheep,Agathobacter,Agathobacter_ruminis,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200707-3,Bacteroides_cellulosyliticus_CRE21,DSM_14838,Glucose,Intermediate,negative,Human,Bacteroides,Bacteroides_cellulosyliticus,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
200707-4,Wolinella_sp_Vibrio_succinogenes,ATCC_33567,Fumarate_Formate_AsparticAcid,Detailed,negative,Human,Wolinella,Wolinella_sp,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria,delta/epsilon subdivisions,Proteobacteria,Bacteria
200707-5,Pseudobutyrivibrio_sp_LB2011,NA,Soluble_Starch,Detailed,positive,Cow,Pseudobutyrivibrio,Pseudobutyrivibrio_sp,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200714-1,Bacteroides_thetaiotaomicron,DSM_2079,Glucose,Intermediate,negative,Human,Bacteroides,Bacteroides_thetaiotaomicron,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
200714-2,Clostridium_butyricum_5001_beijerinckii,NA,Glucose,Basic,positive,Cow,Clostridium,Clostridium_butyricum,Clostridiaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200714-3,Peptostreptococcus_anaerobius_strain_C,NA,Glucose,Basic,positive,Cow,Peptostreptococcus,Peptostreptococcus_anaerobius,Peptostreptococcaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200714-4,Clostridium_cadaveris_G65,AGR2141,Glucose,Intermediate,positive,Cow,Clostridium,Clostridium_cadaveris,Clostridiaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200714-5,Selenomonas_ruminantium_AB3002_P159,NA,Glucose,Intermediate,negative,Cow,Selenomonas,Selenomonas_ruminantium,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Terrabacteria group,Bacteria
200715-1,Bifidobacterium_animalis_UR1,DSM_10140,Glucose,Basic,positive,Yoghurt,Bifidobacterium,Bifidobacterium_animalis,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia,Actinobacteria,Terrabacteria group,Bacteria
200715-2,Ligilactobacillus_ruminis_Lactobacillus_ruminis,DSM_20403,Glucose,Intermediate,positive,Cow,Ligilactobacillus,Ligilactobacillus_ruminis,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria
200715-3,Terrisporobacter_glycolicus_strain_KPPR-9,NA,Glucose,Basic,positive,Cow,Terrisporobacter,Terrisporobacter_glycolicus,Peptostreptococcaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200715-4,Basfia_succiniciproducens,DSM_22022,Glucose,Intermediate,negative,Cow,Basfia,Basfia_succiniciproducens,Basfia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria,Proteobacteria,Bacteria
200715-5,Bacteroides_vulgatus,ATCC_8482,Glucose,Basic,negative,Cow,Bacteroides,Bacteroides_vulgatus,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
200715-6,Proteiniclasticum_ruminis,DSM_24773,Glucose,Intermediate,negative,Yak,Proteiniclasticum,Proteiniclasticum_ruminis,Clostridiaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200727-2,Pediococcus_acidilactici_N775,AGR20,Glucose,Basic,positive,Sheep,Pediococcus,Pediococcus_acidilactici,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria
200727-3,Streptococcus_henryi_A_4,NA,Glucose,Basic,positive,Cow,Streptococcus,Streptococcus_henryi,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria
200728-1,Bifidobacterium_choerinum,AGR2158,Glucose,Basic,positive,Cow,Bifidobacterium,Bifidobacterium_choerinum,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia,Actinobacteria,Terrabacteria group,Bacteria
200728-2,Fusobacterium_necrophorum,Hun48,Glucose,Basic,negative,Cow,Fusobacterium,Fusobacterium_necrophorum,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia,Fusobacteria,Bacteria
200728-3,Propionibacteriaceae_bacterium_P6A17,NA,Glucose,Intermediate,positive,"Ruminator, unspecified",Propionibacteriaceae,Propionibacteriaceae_bacterium,Propionibacteriaceae,Propionibacteriales,Actinomycetia,Actinobacteria,Terrabacteria group,Bacteria
200811-1,Limosilactobacillus_reuteri_Lactobacillus_reuteri,DSM_17938,Glucose,Basic,positive,Human,Limosilactobacillus,Limosilactobacillus_reuteri,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria
200811-2,Bacteroides_caccae,DSM_19024,Glucose,Intermediate,negative,Human,Bacteroides,Bacteroides_caccae,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
200811-3,Bacteroides_uniformis,ATCC_8492,Glucose,Basic,negative,Human,Bacteroides,Bacteroides_uniformis,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
200811-4,Corynebacterium_vitaeruminis_Ga6A13,NA,Glucose,Basic,positive,"Ruminator, unspecified",Corynebacterium,Corynebacterium_vitaeruminis,Corynebacteriaceae,Corynebacteriales,Actinomycetia,Actinobacteria,Terrabacteria group,Bacteria
200811-5,Sharpea_azabuensis,DSM_20406,Glucose,Detailed,positive,Cow,Sharpea,Sharpea_azabuensis,Coprobacillaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Terrabacteria group,Bacteria
200903-1,Dorea_sp,AGR2135,Glucose,Intermediate,positive,"Ruminator, unspecified",Dorea,Dorea_sp,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200903-3,Streptococcus_bovis,ATCC_33317,Glucose,Basic,positive,Cow,Streptococcus,Streptococcus_bovis,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria
201019-1,Bacteroides_thetaiotaomicron,DSM_2079,Starch_Maltose,Intermediate,negative,Human,Bacteroides,Bacteroides_thetaiotaomicron,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
201019-2,Butyrivibrio_fibrisolvens_CF3,NA,Glucose,Detailed,negative,Cow,Butyrivibrio,Butyrivibrio_fibrisolvens,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201019-3,Methanobrevibacter_ruminantium_M1,DSM_1093,Acetate_Formate,Basic,NA,Cow,Methanobrevibacter,Methanobrevibacter_ruminantium,Methanobacteriaceae,Methanobacteriales,Methanobacteria,Methanomada group,Euryarchaeota,Archaea
201019-4,Methanomicrobium_mobile_BP,DSM_1539,Acetate_Formate,Detailed,NA,Cow,Methanomicrobium,Methanomicrobium_mobile,Methanomicrobiaceae,Methanomicrobiales,Methanomicrobia,Stenosarchaea group,Euryarchaeota,Archaea
201020-1,Blautia_schinkii,DSM_10518,Glucose,Basic,positive,Lamb,Blautia,Blautia_schinkii,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201020-3,Methanocorpusculum_labreanum_Z,DSM_4855,Acetate_Formate,Intermediate,NA,Environmental,Methanocorpusculum,Methanocorpusculum_labreanum,Methanocorpusculaceae,Methanomicrobiales,Methanomicrobia,Stenosarchaea group,Euryarchaeota,Archaea
201026-1,Actinomyces_ruminicola_B71,DSM_27982,Acetate_Formate,Basic,positive,Cow,Actinomyces,Actinomyces_ruminicola,Actinomycetaceae,Actinomycetales,Actinomycetia,Actinobacteria,Terrabacteria group,Bacteria
201026-3,Faecalibacterium_prausnitzii_A2-165,DSM_17677,Glucose,Intermediate,positive,Human,Faecalibacterium,Faecalibacterium_prausnitzii,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201027-1,Clostridium_aminophilum_F,DSM_10710,Glucose,Intermediate,positive,Cow,Clostridium,Clostridium_aminophilum,Clostridiaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201027-2,Megamonas_sp_Calf98_2,NA,Glucose,Basic,NA,Cow,Megamonas,Megamonas_sp,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Terrabacteria group,Bacteria
201027-3,Selenomonas_bovis,DSM_23594,Glucose,Intermediate,negative,Yak,Selenomonas,Selenomonas_bovis,Selenomonadaceae,Selenomonadales,Negativicutes,Firmicutes,Terrabacteria group,Bacteria
201027-4,Succinivibrio_dextrinosolvens,DSM_3072,Glucose,Detailed,negative,Cow,Succinivibrio,Succinivibrio_dextrinosolvens,Succinivibrio,Succinivibrionaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
201104-1,Ruminococcus_champanellensis_18P13,JCM_17042,Cellobiose,Basic,positive,Human,Ruminococcus,Ruminococcus_champanellensis,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201104-2,Ruminococcus_champanellensis_18P13,JCM_17042,Cellulose,Basic,positive,Human,Ruminococcus,Ruminococcus_champanellensis,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201104-4,Akkermansia_muciniphila_Muc,DSM_22959,Glucose_Mucin,Intermediate,negative,Human,Akkermansia,Akkermansia_muciniphila,Akkermansiaceae,Verrucomicrobiales,Verrucomicrobiae,Verrucomicrobia,PVC group,Bacteria
201118-1,Butyrivibrio_fibrisolvens_D1,DSM_3071,Glucose,Intermediate,positive,Cow,Butyrivibrio,Butyrivibrio_fibrisolvens,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201118-2,Megasphaera_elsdenii_LC1,DSM_20460,Fructose,Basic,negative,Sheep,Megasphaera,Megasphaera_elsdenii,Veillonellaceae,Veillonellales,Negativicutes,Firmicutes,Terrabacteria group,Bacteria
201118-4,Olsenella_umbonata_strain_WCP15,NA,Fructose,Basic,positive,Cow,Olsenella,Olsenella_umbonata,Atopobiaceae,Coriobacteriales,Coriobacteriia,Actinobacteria,Terrabacteria group,Bacteria
201125-1,Prevotella_ruminicola,ATCC_19189,Rumen_fluid,Intermediate,negative,Cow,Prevotella,Prevotella_ruminicola,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
201125-2,Ruminococcus_gnavus,AGR2154_Hun22,Glucose,Basic,positive,Cow,Ruminococcus,Ruminococcus_gnavus,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201209-1,Bifidobacterium_ruminantium,DSM_6489,Glucose,Intermediate,positive,Cow,Bifidobacterium,Bifidobacterium_ruminantium,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia,Actinobacteria,Terrabacteria group,Bacteria
201209-2,Lachnospira_multipara_G6,ATCC_19207,Glucose,Intermediate,positive,Cow,Lachnospira,Lachnospira_multipara,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201209-3,Micrococcales_bacterium_KH10,NA,Glucose,Basic,positive,Cow,Micrococcales,Micrococcales_bacterium,NULL,Micrococcales,Actinomycetia,Actinobacteria,Terrabacteria group,Bacteria
201209-5,Eubacterium_pyruvativorans_KHPC4,NA,Glucose,Intermediate,positive,Cow,Eubacterium,Eubacterium_pyruvativorans,Eubacteriaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201209-6,Succinimonas_amylolytica,DSM_2873,Glucose,Basic,negative,Cow,Succinimonas,Succinimonas_amylolytica,Succinimonas,Succinivibrionaceae,Aeromonadales,Gammaproteobacteria,Proteobacteria,Bacteria
201211-1,Bacteroides_thetaiotaomicron,DSM_2079,Glucose,Intermediate,negative,Human,Bacteroides,Bacteroides_thetaiotaomicron,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteroidetes/Chlorobi group,FCB group,Bacteria
201216-1,Bifidobacterium_adolescentis,DSM_20087,Glucose,Intermediate,positive,Cow,Bifidobacterium,Bifidobacterium_adolescentis,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia,Actinobacteria,Terrabacteria group,Bacteria
201216-2,Butyrivibrio_sp,DSM_10294,Glucose,Intermediate,NA,Cow,Butyrivibrio,Butyrivibrio_sp,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201216-3,Eubacterium_siraeum,DSM_15702,Glucose,Intermediate,positive,Human,Eubacterium,Eubacterium_siraeum,Eubacteriaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201221-1,Bifidobacterium_thermophilum_C3-12,DSM_20209,Glucose,Basic,NA,"Ruminator, unspecified",Bifidobacterium,Bifidobacterium_thermophilum,Bifidobacteriaceae,Bifidobacteriales,Actinomycetia,Actinobacteria,Terrabacteria group,Bacteria
201221-2,Limosilactobacillus_mucosae_Lactobacillus_mucosae_strain_BV56,AGR63,Glucose,Basic,positive,Cow,Limosilactobacillus,Limosilactobacillus_mucosae,Lactobacillaceae,Lactobacillales,Bacilli,Firmicutes,Terrabacteria group,Bacteria
201221-3,Roseburia_inulinivorans,DSM_16841,Glucose,Intermediate,positive,Human,Roseburia,Roseburia_inulinivorans,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201221-4,Clostridium_paraputrificum_G594,AGR2156,Glucose,Intermediate,positive,"Ruminator, unspecified",Clostridium,Clostridium_paraputrificum,Clostridiaceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
201229-1,Lachnobacterium_bovis,DSM_14045,Glucose,Basic,positive,Cow,Lachnobacterium,Lachnobacterium_bovis,Lachnospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
210104-1,Kandleria_vitulina,DSM_20405,Glucose,Intermediate,positive,Cow,Kandleria,Kandleria_vitulina,Coprobacillaceae,Erysipelotrichales,Erysipelotrichia,Firmicutes,Terrabacteria group,Bacteria
210409-1,Fibrobacter_succinogenes_S85,ATCC_19169,Cellobiose,Basic,negative,"Ruminator, unspecified",Fibrobacter,Fibrobacter_succinogenes,Fibrobacteraceae,Fibrobacterales,Fibrobacteria,Fibrobacteres,FCB group,Bacteria
211130-2,Ruminococcus_bromii_L2-63,NA,Starch,Intermediate,positive,Human,Ruminococcus,Ruminococcus_bromii,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
200120-1,Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum,DSM_1313,Cellobiose,Intermediate,positive,Environmental,Acetivibrio,Acetivibrio_thermocellus,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
211130-1,Ruminococcus_bromii_L2-63,NA,Fructose,Intermediate,positive,Human,Ruminococcus,Ruminococcus_bromii,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
211130-3,Ruminococcus_bromii_L2-63,NA,Pullulan,Intermediate,positive,Human,Ruminococcus,Ruminococcus_bromii,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
180628-1,Acetivibrio_thermocellus_LQ8_Clostridium_thermocellum,DSM_1313,MCC,Intermediate,positive,Environmental,Acetivibrio,Acetivibrio_thermocellus,Oscillospiraceae,Eubacteriales,Clostridia,Firmicutes,Terrabacteria group,Bacteria
